说明：
本清单用于“历代皇帝传”语料生成。它不是最终校勘版史表，而是一个可逐步扩写、校正、补充的写作队列。
秦始皇以前严格说没有“皇帝”称号，本清单仍按你的设想，把传说人物、三皇五帝、夏商周君主放在前面。
秦以后以主要王朝皇帝为主，同时收入十六国、南北朝、五代十国、辽金西夏元明清等重要政权君主。

序号	时期	政权	人物	建议文件名	备注
001	上古传说	传说时代	女娲	女娲.txt	神话人物
002	上古传说	传说时代	伏羲	伏羲.txt	传说人物
003	上古传说	传说时代	神农	神农.txt	传说人物
004	上古传说	五帝	黄帝	黄帝.txt	传说人物
005	上古传说	五帝	少昊	少昊.txt	传说人物
006	上古传说	五帝	颛顼	颛顼.txt	传说人物
007	上古传说	五帝	帝喾	帝喾.txt	传说人物
008	上古传说	五帝	帝挚	帝挚.txt	传说人物
009	上古传说	五帝	帝尧	帝尧.txt	传说人物
010	上古传说	五帝	帝舜	帝舜.txt	传说人物
011	夏	夏	禹	禹.txt	夏代君主
012	夏	夏	启	启.txt	夏代君主
013	夏	夏	太康	太康.txt	夏代君主
014	夏	夏	仲康	仲康.txt	夏代君主
015	夏	夏	相	相.txt	夏代君主
016	夏	夏	少康	少康.txt	夏代君主
017	夏	夏	杼	杼.txt	夏代君主
018	夏	夏	槐	槐.txt	夏代君主
019	夏	夏	芒	芒.txt	夏代君主
020	夏	夏	泄	泄.txt	夏代君主
021	夏	夏	不降	不降.txt	夏代君主
022	夏	夏	扃	扃.txt	夏代君主
023	夏	夏	廑	廑.txt	夏代君主
024	夏	夏	孔甲	孔甲.txt	夏代君主
025	夏	夏	皋	皋.txt	夏代君主
026	夏	夏	发	发.txt	夏代君主
027	夏	夏	桀	桀.txt	夏代君主
028	商	商	商汤	商汤.txt	商代君主
029	商	商	外丙	外丙.txt	商代君主
030	商	商	仲壬	仲壬.txt	商代君主
031	商	商	太甲	太甲.txt	商代君主
032	商	商	沃丁	沃丁.txt	商代君主
033	商	商	太庚	太庚.txt	商代君主
034	商	商	小甲	小甲.txt	商代君主
035	商	商	雍己	雍己.txt	商代君主
036	商	商	太戊	太戊.txt	商代君主
037	商	商	仲丁	仲丁.txt	商代君主
038	商	商	外壬	外壬.txt	商代君主
039	商	商	河亶甲	河亶甲.txt	商代君主
040	商	商	祖乙	祖乙.txt	商代君主
041	商	商	祖辛	祖辛.txt	商代君主
042	商	商	沃甲	沃甲.txt	商代君主
043	商	商	祖丁	祖丁.txt	商代君主
044	商	商	南庚	南庚.txt	商代君主
045	商	商	阳甲	阳甲.txt	商代君主
046	商	商	盘庚	盘庚.txt	商代君主
047	商	商	小辛	小辛.txt	商代君主
048	商	商	小乙	小乙.txt	商代君主
049	商	商	武丁	武丁.txt	商代君主
050	商	商	祖庚	祖庚.txt	商代君主
051	商	商	祖甲	祖甲.txt	商代君主
052	商	商	廪辛	廪辛.txt	商代君主
053	商	商	康丁	康丁.txt	商代君主
054	商	商	武乙	武乙.txt	商代君主
055	商	商	文丁	文丁.txt	商代君主
056	商	商	帝乙	帝乙.txt	商代君主
057	商	商	帝辛	帝辛.txt	商纣王
058	西周	周	周武王	周武王.txt	西周君主
059	西周	周	周成王	周成王.txt	西周君主
060	西周	周	周康王	周康王.txt	西周君主
061	西周	周	周昭王	周昭王.txt	西周君主
062	西周	周	周穆王	周穆王.txt	西周君主
063	西周	周	周共王	周共王.txt	西周君主
064	西周	周	周懿王	周懿王.txt	西周君主
065	西周	周	周孝王	周孝王.txt	西周君主
066	西周	周	周夷王	周夷王.txt	西周君主
067	西周	周	周厉王	周厉王.txt	西周君主
068	西周	周	共和行政	共和行政.txt	特殊时期
069	西周	周	周宣王	周宣王.txt	西周君主
070	西周	周	周幽王	周幽王.txt	西周君主
071	东周	周	周平王	周平王.txt	东周君主
072	东周	周	周桓王	周桓王.txt	东周君主
073	东周	周	周庄王	周庄王.txt	东周君主
074	东周	周	周釐王	周釐王.txt	东周君主
075	东周	周	周惠王	周惠王.txt	东周君主
076	东周	周	周襄王	周襄王.txt	东周君主
077	东周	周	周顷王	周顷王.txt	东周君主
078	东周	周	周匡王	周匡王.txt	东周君主
079	东周	周	周定王	周定王.txt	东周君主
080	东周	周	周简王	周简王.txt	东周君主
081	东周	周	周灵王	周灵王.txt	东周君主
082	东周	周	周景王	周景王.txt	东周君主
083	东周	周	周悼王	周悼王.txt	东周君主
084	东周	周	周敬王	周敬王.txt	东周君主
085	东周	周	周元王	周元王.txt	东周君主
086	东周	周	周贞定王	周贞定王.txt	东周君主
087	东周	周	周哀王	周哀王.txt	东周君主
088	东周	周	周思王	周思王.txt	东周君主
089	东周	周	周考王	周考王.txt	东周君主
090	东周	周	周威烈王	周威烈王.txt	东周君主
091	东周	周	周安王	周安王.txt	东周君主
092	东周	周	周烈王	周烈王.txt	东周君主
093	东周	周	周显王	周显王.txt	东周君主
094	东周	周	周慎靓王	周慎靓王.txt	东周君主
095	东周	周	周赧王	周赧王.txt	东周末代君主
096	秦	秦	秦始皇	秦始皇.txt	中国皇帝制度开端
097	秦	秦	秦二世	秦二世.txt	秦朝皇帝
098	秦	秦	子婴	子婴.txt	秦末君主
099	西汉	汉	汉高祖	汉高祖.txt	刘邦
100	西汉	汉	汉惠帝	汉惠帝.txt	刘盈
101	西汉	汉	前少帝	前少帝.txt	刘恭
